product_name,drug_varient,product_photo_url,product_photo_url,final_price,original_price,offer,is_in_stock
Tri-Activ Instant Hand Sanitizer 500 ml,Mfr: Piramal Healthcare Ltd,https://www.netmeds.com/images/product-v1/150x150/910016/tri_activ_instant_hand_sanitizer_500_ml_0_1.jpg,https://www.netmeds.com/non-prescriptions/tri-activ-instant-hand-sanitizer-500-ml,Rs. 237.50,Rs. 250.00,5% OFF,True
Kerala Ayurveda Kesini Oil 100 ml,Mfr: Kerala Ayurveda Ltd,https://www.netmeds.com/images/product-v1/150x150/825038/kerala_ayurveda_kesini_oil_100_ml_0.jpg,https://www.netmeds.com/non-prescriptions/kerala-ayurveda-kesini-oil-100-ml,Rs. 238.00,Rs. 280.00,15% OFF,True
Cura Hand Sanitizer 200 ml,Mfr: CURA PHARMACEUTICALS,https://www.netmeds.com/images/product-v1/150x150/907575/cura_hand_sanitizer_200_ml_0_0.jpg,https://www.netmeds.com/non-prescriptions/cura-hand-sanitizer-200-ml,Rs. 100.00,None,None,True
Cura Hand Sanitizer 100 ml,Mfr: CURA PHARMACEUTICALS,https://www.netmeds.com/images/product-v1/150x150/907574/cura_hand_sanitizer_100_ml_0_0.jpg,https://www.netmeds.com/non-prescriptions/cura-hand-sanitizer-100-ml,Rs. 50.00,None,None,True
Soulflower Coldpressed Bhringraj Carrier Oil 225 ml,Mfr: Pt Invent India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/893014/soulflower_coldpressed_bhringraj_carrier_oil_225_ml_0.jpg,https://www.netmeds.com/non-prescriptions/soulflower-coldpressed-bhringraj-carrier-oil-225-ml,Rs. 297.50,Rs. 350.00,15% OFF,True
Soulflower Coldpressed Castor Carrier Oil 225 ml,Mfr: Pt Invent India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/893015/soulflower_coldpressed_castor_carrier_oil_225_ml_0.jpg,https://www.netmeds.com/non-prescriptions/soulflower-coldpressed-castor-carrier-oil-225-ml,Rs. 297.50,Rs. 350.00,15% OFF,True
Soulflower Coldpressed Coconut Carrier Oil 225 ml,Mfr: Pt Invent India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/893016/soulflower_coldpressed_coconut_carrier_oil_225_ml_0.jpg,https://www.netmeds.com/non-prescriptions/soulflower-coldpressed-coconut-carrier-oil-225-ml,Rs. 297.50,Rs. 350.00,15% OFF,True
Soulflower Soap - Papaya Cucumber 150 gm,Mfr: Pt Invent India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/893037/soulflower_soap_papaya_cucumber_150_gm_0.jpg,https://www.netmeds.com/non-prescriptions/soulflower-soap-papaya-cucumber-150-gm,Rs. 348.00,Rs. 400.00,13% OFF,True
Soulflower Soap - Deodorizing Charcoal 150 gm,Mfr: Pt Invent India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/893038/soulflower_soap_deodorizing_charcoal_150_gm_0.jpg,https://www.netmeds.com/non-prescriptions/soulflower-soap-deodorizing-charcoal-150-gm,Rs. 348.00,Rs. 400.00,13% OFF,True
Scalpe Plus Anti Dandruff Shampoo 75 ml,Mfr: Glenmark Pharmaceuticals Ltd,https://www.netmeds.com/images/product-v1/150x150/362506/scalpe_plus_anti_dandruff_shampoo_75_ml_0_1.jpg,https://www.netmeds.com/non-prescriptions/scalpe-shampoo-75ml,Rs. 213.20,Rs. 260.00,18% OFF,True
Soulflower Soap - Lemongrass Haldi 150 gm,Mfr: Pt Invent India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/893041/soulflower_soap_lemongrass_haldi_150_gm_0.jpg,https://www.netmeds.com/non-prescriptions/soulflower-soap-lemongrass-haldi-150-gm,Rs. 270.00,Rs. 300.00,10% OFF,True
Soulflower Soap - Orange Carrot 150 gm,Mfr: Pt Invent India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/893042/soulflower_soap_orange_carrot_150_gm_0.jpg,https://www.netmeds.com/non-prescriptions/soulflower-soap-orange-carrot-150-gm,Rs. 270.00,Rs. 300.00,10% OFF,True
Soulflower Coldpressed Sesame Carrier Oil 225 ml,Mfr: Pt Invent India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/893017/soulflower_coldpressed_sesame_carrier_oil_225_ml_0.jpg,https://www.netmeds.com/non-prescriptions/soulflower-coldpressed-sesame-carrier-oil-225-ml,Rs. 297.50,Rs. 350.00,15% OFF,True
Soulflower Herbal Body Lotion - Chamomile Aloevera 250 ml,Mfr: Spartz Cosmeceuticals Inc,"https://www.netmeds.com/images/product-v1/150x150/924095/soulflower_herbal_body_lotion_chamomile_aloevera_with_vitamin_c,_hyaluronic_acid_bamboo_extract_250_ml_0_0.jpg",https://www.netmeds.com/non-prescriptions/soulflower-herbal-body-lotion-chamomile-aloevera-with-vitamin-c-hyaluronic-acid-bamboo-extract-250-ml,Rs. 450.00,Rs. 500.00,10% OFF,True
Indulekha Bringha Oil 100 ml,Mfr: Indulekha,https://www.netmeds.com/images/product-v1/150x150/404896/indulekha_bringha_oil_100_ml_0.jpg,https://www.netmeds.com/non-prescriptions/indulekha-bringha-oil-100ml,Rs. 388.80,Rs. 432.00,10% OFF,True
Soulflower Herbal Brightening Oil Free Gel Moisturizer -Tea Tree & Aloevera 100 ml,Mfr: Spartz Cosmeceuticals Inc,https://www.netmeds.com/images/product-v1/150x150/924096/soulflower_herbal_brightening_oil_free_gel_moisturizer_tea_tree_aloevera_100_ml_0_0.jpg,https://www.netmeds.com/non-prescriptions/soulflower-herbal-brightening-oil-free-gel-moisturizer-tea-tree-aloevera-100-ml,Rs. 297.50,Rs. 350.00,15% OFF,True
Ducray Anaphase+ Anti-Hair Loss Complement Shampoo 100 ml,Mfr: Abbott Healthcare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/853021/ducray_anaphase_anti_hair_loss_complement_shampoo_100_ml_0_3.jpg,https://www.netmeds.com/non-prescriptions/ducray-anaphase-antihair-loss-complement-shampoo-100-ml,Rs. 647.80,Rs. 790.00,18% OFF,True
Soulflower Herbal Beard & Moustache Grooming Oil 120 ml,Mfr: Pt Invent India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/924097/soulflower_herbal_beard_moustache_grooming_oil_120_ml_0_0.jpg,https://www.netmeds.com/non-prescriptions/soulflower-herbal-beard-moustache-grooming-oil-120-ml,Rs. 552.50,Rs. 650.00,15% OFF,True
Soulflower Glitter Peel Off Mask - Coffee Caffeine 100 gm,Mfr: Pt Invent India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/924098/soulflower_glitter_peel_off_mask_coffee_caffeine_with_free_brush_100_gm_0_0.jpg,https://www.netmeds.com/non-prescriptions/soulflower-glitter-peel-off-mask-coffee-caffeine-with-free-brush-100-gm,Rs. 900.00,"Rs. 1,200.00",25% OFF,True
Soulflower Gold Peel Off Mask - Bio-Collagen 100 gm,Mfr: Pt Invent India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/924099/soulflower_gold_peel_off_mask_bio_collagen_with_free_brush_100_gm_0_0.jpg,https://www.netmeds.com/non-prescriptions/soulflower-gold-peel-off-mask-bio-collagen-with-free-brush-100-gm,Rs. 900.00,"Rs. 1,200.00",25% OFF,True
Ciphands Antiseptic Hand Sanitizer 100 ml,Mfr: Cipla Ltd(Otc),https://www.netmeds.com/images/product-v1/150x150/908599/ciphands_antiseptic_hand_sanitizer_100_ml_0_1.jpg,https://www.netmeds.com/non-prescriptions/ciphands-antiseptic-hand-sanitizer-100-ml,Rs. 35.00,Rs. 50.00,30% OFF,True
Bioderma Node Ds+ Shampooing Anti-Dandruff Intense Shampoo 125 ml,Mfr: Naos Skin Care India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/411658/bioderma_node_ds_shampooing_anti_dandruff_intense_shampoo_125_ml_0.jpg,https://www.netmeds.com/non-prescriptions/bioderma-node-ds-shampooing-anti-dandruff-intense-shampoo-125ml,"Rs. 1,575.00",None,None,True
Soulflower Herbal Night Transformation Creme with Evening Primrose 60 gm,Mfr: Revyur Beauty Care India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/924100/soulflower_herbal_night_transformation_creme_with_evening_primrose_60_gm_0_0.jpg,https://www.netmeds.com/non-prescriptions/soulflower-herbal-night-transformation-creme-with-evening-primrose-60-gm,Rs. 996.00,"Rs. 1,200.00",17% OFF,True
Fyne Hand Sanitizer 5 litre,Mfr: Cavinkare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/909752/fyne_hand_sanitizer_5_litre_0_0.jpg,https://www.netmeds.com/non-prescriptions/fyne-hand-sanitizer-5-litre,"Rs. 2,125.00","Rs. 2,500.00",15% OFF,True
Candid Dusting Powder 100 gm,Mfr: Glenmark Pharmaceuticals Ltd,https://www.netmeds.com/images/product-v1/150x150/370513/candid_dusting_powder_100_gm_0_1.jpg,https://www.netmeds.com/non-prescriptions/candid-powder-100gm,Rs. 102.50,Rs. 125.00,18% OFF,True
Soulflower Herbal Super Rich Conditioner - Argan & Tamanu Seed 250 ml,Mfr: Spartz Cosmeceuticals Inc,https://www.netmeds.com/images/product-v1/150x150/924101/soulflower_herbal_super_rich_conditioner_with_argan_tamanu_seed_250_ml_0_0.jpg,https://www.netmeds.com/non-prescriptions/soulflower-herbal-super-rich-conditioner-with-argan-tamanu-seed-250-ml,Rs. 450.00,Rs. 500.00,10% OFF,True
