product_name,drug_varient,product_photo_url,product_photo_url,final_price,original_price,offer,is_in_stock
Itch Guard+ Cream 12 gm,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/411907/itch_guard_cream_12_gm_0.jpg,https://www.netmeds.com/non-prescriptions/itch-guard-cream-12gm,Rs. 70.00,None,None,True
Moov Pain Relief Specialist Cream 30 gm,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/803075/moov_pain_relief_specialist_cream_30_gm_0.jpg,https://www.netmeds.com/non-prescriptions/moov-pain-relief-specialist-cream-30gm,Rs. 112.50,Rs. 125.00,10% OFF,True
D Protin Chocolate Powder 500 gm,Mfr: British Biologicals,https://www.netmeds.com/images/product-v1/150x150/357753/d_protin_chocolate_powder_500_gm_0.jpg,https://www.netmeds.com/non-prescriptions/d-protin-chocolate-powder-500gm,Rs. 473.96,Rs. 578.00,18% OFF,True
Itch Guard+ Cream 20 gm,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/412141/itch_guard_cream_20_gm_0.jpg,https://www.netmeds.com/non-prescriptions/itch-guard-plus-cream-20gm,Rs. 88.64,Rs. 94.30,6% OFF,True
Moov Pain Relief Specialist Spray 35 gm,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/386628/moov_pain_relief_specialist_spray_35_gm_0.jpg,https://www.netmeds.com/non-prescriptions/moov-spray-35gm,Rs. 126.00,Rs. 140.00,10% OFF,True
Moov Pain Relief Specialist Spray 50 gm,Mfr: Reckitt Benckiser India Ltd,https://www.netmeds.com/images/product-v1/150x150/15175/moov_pain_relief_specialist_spray_50_gm_0.jpg,https://www.netmeds.com/non-prescriptions/moov-pain-relief-specialist-spray-50gm,Rs. 166.50,Rs. 185.00,10% OFF,True
Pro360 Diabetic Care Powder - Real Badam Flavour 500 gm,Mfr: Gmn Healthcare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/901518/pro360_diabetic_powder_real_badam_flavour_500_gm_0_0.jpg,https://www.netmeds.com/non-prescriptions/pro360-diabetic-powder-real-badam-flavour-500-gm,Rs. 573.75,Rs. 675.00,15% OFF,True
Ensure Diabetes Care Powder - Vanilla Flavour 200 gm (Refill Pack),Mfr: Abbott Healthcare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/890983/ensure_diabetes_care_powder_vanilla_flavour_200_gm_refill_pack_0_0.jpg,https://www.netmeds.com/non-prescriptions/ensure-diabetes-care-powder-vanilla-flavour-200-gm-refill-pack,Rs. 361.00,Rs. 380.00,5% OFF,True
Pro360 Diabetic Nutritional Powder - Roasted Coffee Flavour 250 gm,Mfr: Gmn Healthcare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/889031/pro360_diabetic_nutritional_powder_roasted_coffee_flavour_250_gm_0.jpg,https://www.netmeds.com/non-prescriptions/pro360-diabetic-nutritional-powder-roasted-coffee-flavour-250-gm,Rs. 314.50,Rs. 370.00,15% OFF,True
Vicks Vaporub 50 ml,Mfr: Procter & Gamble,https://www.netmeds.com/images/product-v1/150x150/14021/vicks_vaporub_50_ml_0.jpg,https://www.netmeds.com/non-prescriptions/vicks-vaporub-50ml,Rs. 126.90,Rs. 135.00,6% OFF,True
