product_name,drug_varient,product_photo_url,product_url,final_price,original_price,offer,is_in_stock
Kapiva Wheat Grass Juice 1 ltr,Mfr: Adret Retail Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/821307/kapiva_wheat_grass_juice_1_ltr_0_1.jpg,https://www.netmeds.com/non-prescriptions/kapiva-wheat-grass-juice-1-l-1l,Rs. 392.00,Rs. 490.00,20% OFF,True
Dr.Ortho Pain Relief Oil 100 ml,Mfr: Shree Dhanwantri Herbals,https://www.netmeds.com/images/product-v1/150x150/886892/dr_ortho_pain_relief_oil_100_ml_0.jpg,https://www.netmeds.com/non-prescriptions/dr-ortho-pain-relief-oil-100-ml,Rs. 280.25,Rs. 295.00,5% OFF,True
Pankajakasthuri Breathe Easy Granules 400 gm,Mfr: Pankajakasthuri Herbals India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/363656/pankajakasthuri_breathe_easy_granules_400_gm_0.jpg,https://www.netmeds.com/non-prescriptions/pankaja-kasthuri-breathe-easy-400gm,Rs. 246.00,Rs. 300.00,18% OFF,True
Japani Oil 15 ml,Mfr: Chaturbhuj Pharmaceutical Co,https://www.netmeds.com/images/product-v1/150x150/857387/japani_oil_15_ml_0.jpg,https://www.netmeds.com/non-prescriptions/japani-oil-15-ml,Rs. 154.98,Rs. 189.00,18% OFF,True
Pankajakasthuri Breathe Easy Syrup 200 ml,Mfr: Pankajakasthuri Herbals India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/410105/pankajakasthuri_breathe_easy_syrup_200_ml_0.jpg,https://www.netmeds.com/non-prescriptions/pankajakasthuri-breathe-easy-syrup-200ml,Rs. 135.00,Rs. 150.00,10% OFF,True
Pankajakasthuri Orthoherb Tablet 60's,Mfr: Pankajakasthuri Herbals India Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/413011/pankajakasthuri_orthoherb_tablet_60_s_0.jpg,https://www.netmeds.com/non-prescriptions/pankajakasthuri-orthoherb-tablet-60-s,Rs. 205.00,Rs. 250.00,18% OFF,True
Himalaya Wellness Ashvagandha Tablet 60's,Mfr: Himalaya Drug Company,https://www.netmeds.com/images/product-v1/150x150/814310/himalaya_wellness_ashvagandha_tablet_60_s_0.jpg,https://www.netmeds.com/non-prescriptions/himalaya-ashvagantha-tablets-60-s,Rs. 130.50,Rs. 150.00,13% OFF,True
Kerala Ayurveda Imugest Tablet (Pack of 10 x 10's),Mfr: Kerala Ayurveda Ltd,https://www.netmeds.com/images/product-v1/150x150/825057/kerala_ayurveda_imugest_tablet_pack_of_10_x_10_s_0.jpg,https://www.netmeds.com/non-prescriptions/kerala-ayurveda-imugest-tablet-100-s,Rs. 425.00,Rs. 500.00,15% OFF,True
Kerala Ayurveda Kesini Oil 100 ml,Mfr: Kerala Ayurveda Ltd,https://www.netmeds.com/images/product-v1/150x150/825038/kerala_ayurveda_kesini_oil_100_ml_0.jpg,https://www.netmeds.com/non-prescriptions/kerala-ayurveda-kesini-oil-100-ml,Rs. 238.00,Rs. 280.00,15% OFF,True
Kapiva Wild Tulsi Giloy Juice 1 ltr,Mfr: Adret Retail Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/821332/kapiva_tulsi_giloy_juice_1_ltr_0_2.jpg,https://www.netmeds.com/non-prescriptions/kapiva-tulsi-giloy-juice-1-l-1l,Rs. 320.00,Rs. 400.00,20% OFF,True
