product_name,drug_varient,product_photo_url,product_url,final_price,original_price,offer,is_in_stock
Renu Fresh Multi Purpose Solution 500 ml,Mfr: Bausch & Lomb,https://www.netmeds.com/images/product-v1/150x150/108961/renu_fresh_multi_purpose_solution_500_ml_0_1.jpg,https://www.netmeds.com/non-prescriptions/renu-fresh-multi-purpose-solution-500ml,Rs. 519.20,Rs. 590.00,12% OFF,True
Biotrue Multi Purpose Solution 300 ml,Mfr: Bausch & Lomb,https://www.netmeds.com/images/product-v1/150x150/408979/biotrue_multi_purpose_solution_300_ml_0.jpg,https://www.netmeds.com/non-prescriptions/biotrue-multi-purpose-solution-300ml,Rs. 515.20,Rs. 560.00,8% OFF,True
3M Opticlude Orthoptic Eye Patches (1539) 20's,Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/804474/3m_opticlude_orthoptic_eye_patches_1539_20s_0_1.jpg,https://www.netmeds.com/non-prescriptions/3m-opticlude-orthoptic-eye-patches-1539-20-s,Rs. 351.00,Rs. 540.00,35% OFF,True
Vision Express 12033 AF (including lens with Anti-reflective coating) - Matt Black,Mfr: N/A,https://www.netmeds.com/images/product-v1/150x150/909882/full_rim_incl_lenses_oval_matt_black_medium_0_1.jpg,https://www.netmeds.com/non-prescriptions/vx-12033-af-full-rim-oval-matt-black-medium-100-gm,"Rs. 1,099.50","Rs. 2,199.00",50% OFF,True
Vision Express 12033 AF (including lens with Anti-reflective coating) - Black,Mfr: N/A,https://www.netmeds.com/images/product-v1/150x150/909893/full_rim_incl_lenses_oval_shiny_black_red_medium_0_0.jpg,https://www.netmeds.com/non-prescriptions/vx-12033-af-full-rim-oval-shiny-black-red-medium-100-gm,"Rs. 1,099.50","Rs. 2,199.00",50% OFF,True
Renu Fresh Multi Purpose Solution 60 ml,Mfr: Bausch & Lomb,https://www.netmeds.com/images/product-v1/150x150/default/no_image.png,https://www.netmeds.com/non-prescriptions/renu-fresh-multi-purpose-solution-60-ml,Rs. 145.00,None,None,True
Biotrue Multi Purpose Solution 120 ml,Mfr: Bausch & Lomb,https://www.netmeds.com/images/product-v1/150x150/408978/biotrue_multi_purpose_solution_120_ml_0_1.jpg,https://www.netmeds.com/non-prescriptions/biotrue-multi-purpose-solution-120ml,Rs. 283.65,Rs. 305.00,7% OFF,True
Biotrue Multi Purpose Solution 60 ml,Mfr: Bausch & Lomb,https://www.netmeds.com/images/product-v1/150x150/408977/biotrue_multi_purpose_solution_60_ml_0_0.jpg,https://www.netmeds.com/non-prescriptions/biotrue-multi-purpose-solution-60ml,Rs. 150.40,Rs. 160.00,6% OFF,True
Renu Fresh Multi Purpose Solution 120 ml,Mfr: Bausch & Lomb,https://www.netmeds.com/images/product-v1/150x150/108959/renu_fresh_multi_purpose_solution_120_ml_0.jpg,https://www.netmeds.com/non-prescriptions/renu-fresh-multi-purpose-solution-120ml,Rs. 248.40,Rs. 270.00,8% OFF,True
Renu Fresh Multi Purpose Solution 355 ml,Mfr: Bausch & Lomb,https://www.netmeds.com/images/product-v1/150x150/108960/renu_fresh_multi_purpose_solution_355_ml_0_1.jpg,https://www.netmeds.com/non-prescriptions/renu-fresh-multi-purpose-solution-355ml,Rs. 450.00,Rs. 500.00,10% OFF,True
Renu Advanced Formula Multi-Purpose Contact Lens Solution 118 ml,Mfr: Bausch & Lomb,https://www.netmeds.com/images/product-v1/150x150/914959/renu_advanced_formula_multi_purpose_contact_lens_solution_118_ml_0_0.jpg,https://www.netmeds.com/non-prescriptions/renu-advanced-formula-multi-purpose-contact-lens-solution-118-ml,Rs. 285.00,None,None,True
Vision Express 48966 AF (including UV blue lens) - Dark,Mfr: N/A,https://www.netmeds.com/images/product-v1/150x150/909853/full_rim_incl_lenses_cateye_dark_purple_large_0_1.jpg,https://www.netmeds.com/non-prescriptions/vx-48966-af-full-rim-cateye-dark-purple-large-100-gm,"Rs. 1,994.43","Rs. 3,499.00",43% OFF,True
Vision Express 12042 MF (including UV blue lens) - Matt Gold,Mfr: N/A,https://www.netmeds.com/images/product-v1/150x150/909855/full_rim_incl_lenses_rounds_matt_gold_medium_0_1.jpg,https://www.netmeds.com/non-prescriptions/vx-12042-mf-full-rim-rounds-matt-gold-medium-100-gm,"Rs. 1,994.43","Rs. 3,499.00",43% OFF,True
Vision Express 29389 AF (including UV blue lens) - Matt Black,Mfr: N/A,https://www.netmeds.com/images/product-v1/150x150/909854/full_rim_incl_lenses_rounds_matt_black_crystal_brown_small_0_1.jpg,https://www.netmeds.com/non-prescriptions/vx-29389-af-full-rim-rounds-matt-black-crystal-brown-small-100-gm,"Rs. 1,994.43","Rs. 3,499.00",43% OFF,True
Renu Advanced Formula Multi-Purpose Contact Lens Solution 355 ml,Mfr: Bausch & Lomb,https://www.netmeds.com/images/product-v1/150x150/914961/renu_advanced_formula_multi_purpose_contact_lens_solution_355_ml_0_0.jpg,https://www.netmeds.com/non-prescriptions/renu-advanced-formula-multi-purpose-contact-lens-solution-355-ml,Rs. 530.00,None,None,True
InStyle ISFF26 (including UV blue lens) - Black,Mfr: N/A,https://www.netmeds.com/images/product-v1/150x150/909869/full_rim_incl_lenses_rounds_black_gold_small_0_0.jpg,https://www.netmeds.com/non-prescriptions/vx-isff26-full-rim-rounds-black-gold-small-100-gm,"Rs. 3,999.20","Rs. 4,999.00",20% OFF,True
Vision Express 48796 Wine Rectangle Eyeglasses (Including UV Blue Lens) 1's,Mfr: N/A,https://www.netmeds.com/images/product-v1/150x150/914988/vision_express_48796_wine_rectangle_eyeglasses_including_uv_blue_lens_1s_0_0.jpg,https://www.netmeds.com/non-prescriptions/vision-express-48796-wine-rectangle-eyeglasses-including-uv-blue-lens-1s,"Rs. 1,994.43","Rs. 3,499.00",43% OFF,True
