product_name,drug_varient,product_photo_url,product_url,final_price,original_price,offer,is_in_stock
Himalaya Wellness Ashvagandha Tablet 60's,Mfr: Himalaya Drug Company,https://www.netmeds.com/images/product-v1/150x150/814310/himalaya_wellness_ashvagandha_tablet_60_s_0.jpg,https://www.netmeds.com/non-prescriptions/himalaya-ashvagantha-tablets-60-s,Rs. 130.50,Rs. 150.00,13% OFF,True
Pro360 Kids Nutritional Powder - Chocolate Flavour 250 gm,Mfr: Gmn Healthcare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/889051/pro360_kids_nutritional_powder_chocolate_flavour_250_gm_0.jpg,https://www.netmeds.com/non-prescriptions/pro360-kids-nutritional-powder-chocolate-flavour-250-gm,Rs. 314.50,Rs. 370.00,15% OFF,True
Pro360 Dry Fruits Nutritional Powder 250 gm,Mfr: Gmn Healthcare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/889029/pro360_dry_fruits_nutritional_powder_250_gm_0.jpg,https://www.netmeds.com/non-prescriptions/pro360-dry-fruits-nutritional-powder-250-gm,Rs. 314.50,Rs. 370.00,15% OFF,True
Dabur Chyawanprash Awaleha 1kg,Mfr: Dabur India Ltd,https://www.netmeds.com/images/product-v1/150x150/313682/dabur_chyawanprash_1_kg_0.jpg,https://www.netmeds.com/non-prescriptions/dabur-chyawanprash-1kg,Rs. 349.00,None,None,True
Pro360 Classic Nutritional Powder - Kesar Badam Flavour 200 gm,Mfr: Gmn Healthcare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/889035/pro360_nutritional_powder_kesar_badam_flavour_200_gm_0.jpg,https://www.netmeds.com/non-prescriptions/pro360-nutritional-powder-kesar-badam-flavour-200-gm,Rs. 250.75,Rs. 295.00,15% OFF,True
Dabur Honey 1 kg,Mfr: Dabur India Ltd,https://www.netmeds.com/images/product-v1/150x150/840552/dabur_honey_1_kg_0_2.jpg,https://www.netmeds.com/non-prescriptions/dabur-honey-1-kg,Rs. 395.00,None,None,True
INLIFE Ashwagandha Ghan Capsules 60's,Mfr: Inlife Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/858522/inlife_ashwagandha_ghan_capsules_60_s_0.jpg,https://www.netmeds.com/non-prescriptions/inlife-ashwagandha-extract-500-mg-capsule-60-s,Rs. 274.45,Rs. 499.00,45% OFF,True
Lama Giloy ghanbati Tablet 60's,Mfr: Lama Pharmaceuticals,https://www.netmeds.com/images/product-v1/150x150/915684/lama_giloy_ghanbati_tablet_60s_0_0.jpg,https://www.netmeds.com/non-prescriptions/lama-giloy-ghanbati-tablet-60s,Rs. 75.00,Rs. 100.00,25% OFF,True
Pro360 Classic Nutritional Powder - Elaichi Flavour 200 gm,Mfr: Gmn Healthcare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/889038/pro360_nutritional_powder_elaichi_flavour_200_gm_0.jpg,https://www.netmeds.com/non-prescriptions/pro360-nutritional-powder-elaichi-flavour-200-gm,Rs. 250.75,Rs. 295.00,15% OFF,True
Pro360 Classic Nutritional Powder - Chocolate Flavour 200 gm,Mfr: Gmn Healthcare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/889046/pro360_nutritional_powder_chocolate_flavour_200_gm_0.jpg,https://www.netmeds.com/non-prescriptions/pro360-nutritional-powder-chocolate-flavour-200-gm,Rs. 250.75,Rs. 295.00,15% OFF,True
Pro360 Kids Nutritional Powder - Vanilla Flavour 250 gm,Mfr: Gmn Healthcare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/904196/pro360_kids_nutritional_powder_vanilla_flavour_250_gm_0_1.jpg,https://www.netmeds.com/non-prescriptions/pro360-kids-nutritional-powder-vanilla-flavour-250-gm,Rs. 314.50,Rs. 370.00,15% OFF,True
INLIFE Heart Care Capsules 60's,Mfr: Inlife Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/858551/inlife_heart_care_capsules_60_s_0.jpg,https://www.netmeds.com/non-prescriptions/inlife-heart-care-supplement-arjuna-moringa-ashwagandha-green-tea-turmeric-capsule-60-s,Rs. 343.57,Rs. 799.00,57% OFF,True
Pro360 Classic Nutritional Powder - Vanilla Flavour 200 gm,Mfr: Gmn Healthcare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/889048/pro360_nutritional_powder_vanilla_flavour_200_gm_0.jpg,https://www.netmeds.com/non-prescriptions/pro360-nutritional-powder-vanilla-flavour-200-gm,Rs. 250.75,Rs. 295.00,15% OFF,True
Pro360 Nephro LP Powder - Vanilla Flavour 400 gm,Mfr: Gmn Healthcare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/901522/pro360_nephro_lp_powder_vanilla_flavour_400_gm_0_0.jpg,https://www.netmeds.com/non-prescriptions/pro360-nephro-lp-powder-vanilla-flavour-400-gm,Rs. 743.75,Rs. 875.00,15% OFF,True
Pro360 Women Nutritional Powder - Butterscotch Flavour 250 gm,Mfr: Gmn Healthcare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/889032/pro360_women_nutritional_powder_butterscotch_flavour_250_gm_0.jpg,https://www.netmeds.com/non-prescriptions/pro360-women-nutritional-powder-butterscotch-flavour-250-gm,Rs. 314.50,Rs. 370.00,15% OFF,True
Pro360 Hair Grow Nutritional Powder - Vanilla Flavour 250 gm,Mfr: Gmn Healthcare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/889020/pro360_hair_grow_nutritional_powder_vanilla_flavour_250_gm_0.jpg,https://www.netmeds.com/non-prescriptions/pro360-hair-grow-nutritional-powder-vanilla-flavour-250-gm,Rs. 420.75,Rs. 495.00,15% OFF,True
D Protin Chocolate Powder 500 gm,Mfr: British Biologicals,https://www.netmeds.com/images/product-v1/150x150/357753/d_protin_chocolate_powder_500_gm_0.jpg,https://www.netmeds.com/non-prescriptions/d-protin-chocolate-powder-500gm,Rs. 473.96,Rs. 578.00,18% OFF,True
Covid-19 Immunity + Anti Inflammatory Booster Pack (Curcumin Strips + Vitamin C Strips + Vitamin D Strips) 210's,Mfr: Bonayu Lifesciences Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/915381/covid_19_immunity_anti_inflammatory_booster_pack_curcumin_strips_vitamin_c_strips_vitamin_d_strips_210s_0_1.jpg,https://www.netmeds.com/non-prescriptions/covid-19-immunity-anti-inflammatory-booster-pack-curcumin-strips-vitamin-c-strips-vitamin-d-strips-210s,"Rs. 1,610.00","Rs. 1,750.00",8% OFF,True
