product_name,drug_varient,product_photo_url,product_url,final_price,original_price,offer,is_in_stock
Dabur Shilajit Capsule 100's,Mfr: Dabur India Ltd,https://www.netmeds.com/images/product-v1/150x150/15919/dabur_shilajit_capsule_100_s_0.jpg,https://www.netmeds.com/non-prescriptions/shilajit-capsule-100-s,Rs. 495.00,Rs. 500.00,1% OFF,True
Dabur Shilajit Gold Capsule 20's,Mfr: Dabur India Ltd,https://www.netmeds.com/images/product-v1/150x150/15920/dabur_shilajit_gold_capsule_20s_0_1.jpg,https://www.netmeds.com/non-prescriptions/shilajit-gold-20-s,Rs. 425.70,Rs. 430.00,1% OFF,True
Pro360 Secret Nutritional Powder - Chocolate Flavour 250 gm,Mfr: Gmn Healthcare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/918433/pro360_secret_nutritional_powder_chocolate_flavour_250_gm_0_0.jpg,https://www.netmeds.com/non-prescriptions/pro360-secret-nutritional-powder-chocolate-flavour-250-gm,"Rs. 1,019.15","Rs. 1,199.00",15% OFF,True
Moods Condoms All Night Climax Delay 20's,Mfr: Hll Lifecare Ltd,https://www.netmeds.com/images/product-v1/150x150/14492/moods_condoms_all_night_climax_delay_20s_0_1.jpg,https://www.netmeds.com/non-prescriptions/moods-condoms-all-night-climax-delay-20-s,Rs. 140.00,None,None,True
Moods Condoms - Ultrathin 20's,Mfr: Hll Lifecare Ltd,https://www.netmeds.com/images/product-v1/150x150/14512/moods_condoms_ultrathin_20s_0_1.jpg,https://www.netmeds.com/non-prescriptions/moods-condoms-ultrathin-20-s,Rs. 180.00,None,None,True
Kamasutra Condoms - Longlast 20's,Mfr: J.K. Ansell Ltd,https://www.netmeds.com/images/product-v1/150x150/850978/kamasutra_condoms_longlast_20_s_0.jpg,https://www.netmeds.com/non-prescriptions/kamasutra-longlast-condoms-20-s,Rs. 178.50,Rs. 210.00,15% OFF,True
Skore Condoms - Timeless 10's,Mfr: Ttk Healthcare Ltd,https://www.netmeds.com/images/product-v1/150x150/848483/skore_condoms_timeless_10_s_0.jpg,https://www.netmeds.com/non-prescriptions/skore-timeless-24-inch-10-s,Rs. 130.50,Rs. 150.00,13% OFF,True
Skore Notout Climax Delay with 1500 Plus Raised Dots 10's,Mfr: Ttk Healthcare Ltd,https://www.netmeds.com/images/product-v1/150x150/848465/skore_notout_climax_delay_with_1500_plus_raised_dots_10_s_0.jpg,https://www.netmeds.com/non-prescriptions/skore-notout-climax-delay-with-1500-plus-raised-dots-10-s,Rs. 78.30,Rs. 90.00,13% OFF,True
Manforce Super Condoms 1500 Dots - Litchi Flavoured 10's,Mfr: Mankind Pharma Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/823627/manforce_super_condoms_1500_dots_litchi_flavoured_10_s_0.jpg,https://www.netmeds.com/non-prescriptions/manforce-condoms-1500-dots-litchi-10-s,Rs. 60.00,Rs. 80.00,25% OFF,True
Kamasutra Condoms - Superthin 20's,Mfr: J.K. Ansell Ltd,https://www.netmeds.com/images/product-v1/150x150/14541/kamasutra_condoms_superthin_20_s_0.jpg,https://www.netmeds.com/non-prescriptions/kama-sutra-superthin-sense-the-real-thing-20-s,Rs. 195.50,Rs. 230.00,15% OFF,True
