product_name,drug_varient,product_photo_url,product_url,final_price,original_price,offer,is_in_stock
AIO Latex Gloves Lightly Powdered (L) 100's,Mfr: 1 Mile Healthcare,https://www.netmeds.com/images/product-v1/150x150/901471/aio_latex_gloves_lightly_powdered_l_100s_0_0.jpg,https://www.netmeds.com/non-prescriptions/aio-latex-gloves-lightly-powdered-l-100s,Rs. 850.00,None,None,True
1Mile Latex Examination Gloves (L) 100's,Mfr: 1 Mile Healthcare,https://www.netmeds.com/images/product-v1/150x150/826347/1mile_examination_gloves_l_100_s_0.jpg,https://www.netmeds.com/non-prescriptions/1-mile-examination-gloves-l-100-s,Rs. 850.00,None,None,True
Ramaraju Cotton Wool 500 gm,Mfr: Ramaraju Surgical Cotton Mills Ltd,https://www.netmeds.com/images/product-v1/150x150/409522/ramaraju_cotton_wool_500_gm_0.jpg,https://www.netmeds.com/non-prescriptions/ramaraju-cotton-wool-500gm,Rs. 208.60,Rs. 298.00,30% OFF,True
1Mile Latex Examination Gloves (XS) 100's,Mfr: 1 Mile Healthcare,https://www.netmeds.com/images/product-v1/150x150/826344/1mile_examination_gloves_xs_100_s_0.jpg,https://www.netmeds.com/non-prescriptions/1-mile-examination-gloves-xs-100-s,Rs. 850.00,None,None,True
3M Micropore Adhesive Surgical Tape - (1.25 cm X 9.14 m) (1530-0) 24's,Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/922633/3m_micropore_surgical_tape_1_25_cm_x_9_14_m_1530_0_24s_0_0.jpg,https://www.netmeds.com/non-prescriptions/3m-micropore-surgical-tape-1-25-cm-x-9-14-m-1530-0-24s,Rs. 984.00,None,None,True
Jelonet Gauze (10 cm x 10 cm) 10's,Mfr: Smith & Nephew Medical Ltd,https://www.netmeds.com/images/product-v1/150x150/315446/jelonet_gauze_10_cm_x_10_cm_10_s_0.jpg,https://www.netmeds.com/non-prescriptions/jelonet-gauze-10cmx10cm-10-s,Rs. 709.50,Rs. 825.00,14% OFF,True
"Sahyog Wellness Portable Traveller Mesh Nebulizer (With USB Port,Adult and Child Mask)",Mfr: Sahyog Wellness,"https://www.netmeds.com/images/product-v1/150x150/902215/sahyog_wellness_portable_traveller_mesh_nebulizer_with_usb_port,adult_and_child_mask_0_1.jpg",https://www.netmeds.com/non-prescriptions/sahyog-wellness-portable-traveller-mesh-nebulizerwith-usb-port-adult-and-child-mask-1s,"Rs. 2,293.90","Rs. 3,955.00",42% OFF,True
Sahyog Wellness Piston Compressor Nebulizer for Children & Adults with Flow Adjuster,Mfr: Sahyog Wellness,https://www.netmeds.com/images/product-v1/150x150/902224/sahyog_wellness_piston_compressor_nebulizer_for_children_adults_with_flow_adjuster_0_1.jpg,https://www.netmeds.com/non-prescriptions/sahyog-wellness-piston-compressor-nebulizer-for-children-adults-with-flow-adjuster-1s,"Rs. 1,242.00","Rs. 2,700.00",54% OFF,True
Ramaraju Cotton Wool 25 gm,Mfr: Ramaraju Surgical Cotton Mills Ltd,https://www.netmeds.com/images/product-v1/150x150/405603/ramaraju_cotton_wool_25_gm_0.jpg,https://www.netmeds.com/non-prescriptions/ramaraju-cotton-wool-25gm,Rs. 14.30,Rs. 22.00,35% OFF,True
BD Ultra Fine 100IU/31G Syringe 1 x 10's,Mfr: Becton Dickinson (I) Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/821375/bd_ultra_fine_100iu_31g_syringe_1_x_10_s_0.jpg,https://www.netmeds.com/non-prescriptions/bd-ultra-fine-100iu-31g-syringe-1x10-s,Rs. 89.00,None,None,True
Oxy Breathe Portable Home Oxygen System 9 Litre,Mfr: Shree Vinayak Gases,https://www.netmeds.com/images/product-v1/150x150/920741/oxy_breathe_portable_home_oxygen_system_9_litre_0_0.jpg,https://www.netmeds.com/non-prescriptions/oxy-breathe-portable-home-oxygen-system-9-litre,Rs. 499.00,None,None,True
Sahyog Wellness 3 in 1 Steam Vaporizer Kit,Mfr: Sahyog Wellness,https://www.netmeds.com/images/product-v1/150x150/915644/sahyog_wellness_3_in_1_steam_vaporizer_kit_0_2.jpg,https://www.netmeds.com/non-prescriptions/sahyog-wellness-3-in-1-steam-vaporizer-nose-steamer-cough-steamer-nozzle-inhaler-nose-vaporiser-1s,Rs. 386.57,Rs. 899.00,57% OFF,True
3M Micropore Tape - 3 Inch 4's,Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/803000/3m_micropore_tape_3_inch_4_s_0.jpg,https://www.netmeds.com/non-prescriptions/3m-micropore-tape-3-inch-4-s,Rs. 528.00,"Rs. 1,056.00",50% OFF,True
3M Micropore Adhesive Surgical Tape - (5 cm x 9.14 m) (1530-2) 6's,Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/802999/3m_micropore_tape_2_inch_6_s_0.jpg,https://www.netmeds.com/non-prescriptions/3m-micropore-tape-2-inch-6-s,Rs. 538.56,"Rs. 1,056.00",49% OFF,True
Ramaraju Cotton Wool 50 gm,Mfr: Ramaraju Surgical Cotton Mills Ltd,https://www.netmeds.com/images/product-v1/150x150/409793/ramaraju_cotton_wool_50_gm_0.jpg,https://www.netmeds.com/non-prescriptions/ramaraju-cotton-wool-50gm,Rs. 26.40,Rs. 40.00,34% OFF,True
Dispovan 31G Insulin Syringe 1 ml 10's,Mfr: Hindustan Syringes & Medical Devices Ltd,https://www.netmeds.com/images/product-v1/150x150/902395/dispovan_31g_insulin_syringe_1_ml_10s_0_0.jpg,https://www.netmeds.com/non-prescriptions/dispovan-31g-insulin-syringe-1-ml-100s,Rs. 85.00,None,None,True
BD Ultra Fine Mini Pen Needle 5's,Mfr: Becton Dickinson (I) Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/803077/bd_ultra_fine_mini_pen_needle_5_s_0.jpg,https://www.netmeds.com/non-prescriptions/bd-ultra-fine-mini-pen-needle-5-s,Rs. 76.26,Rs. 82.00,7% OFF,True
