product_name,drug_varient,product_photo_url,product_photo_url,final_price,original_price,offer,is_in_stock
1Mile Pulse Oximeter - Blue,Mfr: 1 Mile Healthcare,https://www.netmeds.com/images/product-v1/150x150/918867/1mile_pulse_oximeter_blue_0_0.jpg,https://www.netmeds.com/non-prescriptions/1mile-pulse-oximeter-blue-1s,"Rs. 1,125.00","Rs. 4,500.00",75% OFF,True
Sahyog Wellness Multi Function Non-Contact Body & Object Infrared Thermometer,Mfr: Sahyog Wellness,https://www.netmeds.com/images/product-v1/150x150/902221/sahyog_wellness_multi_function_non_contact_body_object_infrared_thermometer_0_1.jpg,https://www.netmeds.com/non-prescriptions/sahyog-wellness-multi-function-non-contact-body-object-infrared-thermometer,"Rs. 2,159.76","Rs. 8,999.00",76% OFF,True
Sahyog Wellness Digital Thermometer,Mfr: Sahyog Wellness,https://www.netmeds.com/images/product-v1/150x150/902225/sahyog_wellness_digital_thermometer_0_0.jpg,https://www.netmeds.com/non-prescriptions/sahyog-wellness-digital-thermometer-1s,Rs. 105.00,Rs. 250.00,58% OFF,True
Canyearn Medical Infrared Thermometer,Mfr: Canyearn,https://www.netmeds.com/images/product-v1/150x150/908302/canyearn_medical_infrared_thermometer_0_0.jpg,https://www.netmeds.com/non-prescriptions/canyearn-medical-infrared-thermometer-1s,"Rs. 4,205.00","Rs. 14,500.00",71% OFF,True
AccuSure Blood Pressure Monitor - TS,Mfr: Microgene Diagnostic Systems Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/857452/accusure_blood_pressure_monitor_ts_0.jpg,https://www.netmeds.com/non-prescriptions/accusure-blood-pressure-monitor-ts,"Rs. 1,377.70","Rs. 2,995.00",54% OFF,True
Omron Blood Pressure Cuff (HEM-CL24) (L),Mfr: Omron Healthcare Co Ltd,https://www.netmeds.com/images/product-v1/150x150/408251/omron_blood_pressure_cuff_hem_cl24_l_0.jpg,https://www.netmeds.com/non-prescriptions/omron-b-p-cuff-hem-cl24-l,Rs. 774.00,Rs. 860.00,10% OFF,True
Romsons Oxee Check Finger Pulse Oximeter,Mfr: Rennex Medical,https://www.netmeds.com/images/product-v1/150x150/910021/romsons_oxee_check_finger_pulse_oximeter_0_0.jpg,https://www.netmeds.com/non-prescriptions/romsons-oxee-check-finger-pulse-oximeter-1s,"Rs. 2,700.00","Rs. 4,500.00",40% OFF,True
Accu-Chek Active Test Strips 50's,Mfr: Roche Diabetes Care Gmbh,https://www.netmeds.com/images/product-v1/150x150/15580/accu_chek_active_test_strips_50s_0_1.jpg,https://www.netmeds.com/non-prescriptions/accu-chek-active-test-strip-50-s,Rs. 809.25,Rs. 975.00,17% OFF,True
Choicemmed Finger Tip Pulse Oximeter,Mfr: Beijing Choice Electronic Technology Co Ltd,https://www.netmeds.com/images/product-v1/150x150/858055/choicemmed_finger_tip_pulse_oximeter_0.jpg,https://www.netmeds.com/non-prescriptions/choicemmed-finger-tip-pulse-oximeter,"Rs. 2,370.00","Rs. 3,950.00",40% OFF,True
Accu-Chek Instant Test Strips 50's,Mfr: Roche Diabetes Care Gmbh,https://www.netmeds.com/images/product-v1/150x150/835774/accu_chek_instant_test_strips_50_s_0.jpg,https://www.netmeds.com/non-prescriptions/accu-chek-instant-s-test-strips-50-s,Rs. 819.00,Rs. 975.00,16% OFF,True
Newnik Pulse Oximeter With Audio Visual Alarm (PX701) - Royal Blue,Mfr: Newnik Lifecare Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/858256/newnik_pulse_oximeter_with_audio_visual_alarm_px701_royal_blue_0_1.jpg,https://www.netmeds.com/non-prescriptions/newnik-pulse-oximeter-with-audio-visual-alarm-px701-royal-blue,"Rs. 2,409.00","Rs. 4,380.00",45% OFF,True
Onetouch Select Plus Test Strips 50's,Mfr: Lifescan Scotland Ltd,https://www.netmeds.com/images/product-v1/150x150/895048/onetouch_select_plus_test_strips_50s_0_0.jpg,https://www.netmeds.com/non-prescriptions/onetouch-select-plus-test-strips-50-s,Rs. 952.65,"Rs. 1,095.00",13% OFF,True
Helyxon Oxy 1 Basic Oximeter (Without Bluetooth),Mfr: Helyxon Healthcare Solutions Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/915942/helyxon_oxy_basic_oximeter_0_0.jpg,https://www.netmeds.com/non-prescriptions/helyxon-oxy-basic-oximeter-1s,"Rs. 2,124.15","Rs. 2,499.00",15% OFF,True
1Mile Latex Examination Gloves (L) 100's,Mfr: 1 Mile Healthcare,https://www.netmeds.com/images/product-v1/150x150/826347/1mile_examination_gloves_l_100_s_0.jpg,https://www.netmeds.com/non-prescriptions/1-mile-examination-gloves-l-100-s,Rs. 850.00,None,None,True
Onetouch Select Plus Test Strips 25's,Mfr: Lifescan Scotland Ltd,https://www.netmeds.com/images/product-v1/150x150/895049/onetouch_select_plus_test_strips_25s_0_0.jpg,https://www.netmeds.com/non-prescriptions/onetouch-select-plus-test-strips-25-s,Rs. 512.50,Rs. 625.00,18% OFF,True
Helyxon Oxy 2 Comfort Oximeter (With Bluetooth),Mfr: Helyxon Healthcare Solutions Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/915944/helyxon_oxy_2_comfort_oximeter_with_bluetooth_0_1.jpg,https://www.netmeds.com/non-prescriptions/helyxon-oxy-comfort-oximeter-1s,"Rs. 5,719.12","Rs. 6,499.00",12% OFF,True
Helyxon Oxy 2 Supreme Oximeter (With Bluetooth),Mfr: Helyxon Healthcare Solutions Pvt Ltd,https://www.netmeds.com/images/product-v1/150x150/915945/helyxon_oxy_supreme_oximeter_0_0.jpg,https://www.netmeds.com/non-prescriptions/helyxon-oxy-supreme-oximeter-1s,"Rs. 6,799.15","Rs. 7,999.00",15% OFF,True
Onetouch Verio Test Strip 100's,Mfr: Lifescan Scotland Ltd,https://www.netmeds.com/images/product-v1/150x150/408330/onetouch_verio_test_strip_100_s_0.jpg,https://www.netmeds.com/non-prescriptions/onetouch-verio-test-strip-100-s,"Rs. 1,797.40","Rs. 2,090.00",14% OFF,True
Sahyog Wellness LED Fingertip Pulse Oximeter,Mfr: Sahyog Wellness,https://www.netmeds.com/images/product-v1/150x150/902219/sahyog_wellness_led_fingertip_pulse_oximeter_0_1.jpg,https://www.netmeds.com/non-prescriptions/sahyog-wellness-led-fingertip-pulse-oximeter,Rs. 908.70,"Rs. 3,495.00",74% OFF,True
Onetouch Verio Test Strip 50's,Mfr: Lifescan Scotland Ltd,https://www.netmeds.com/images/product-v1/150x150/408329/onetouch_verio_test_strip_50_s_0.jpg,https://www.netmeds.com/non-prescriptions/onetouch-verio-test-strip-50-s,Rs. 952.65,"Rs. 1,095.00",13% OFF,True
Floh Non Contact Digital Infrared Thermometer (PG-IRT1602),Mfr: Guangzhou AXD Electronic Co Ltd,https://www.netmeds.com/images/product-v1/150x150/912655/floh_non_contact_digital_infrared_thermometer_pg_irt1602_0_0.jpg,https://www.netmeds.com/non-prescriptions/floh-non-contact-digital-infrared-thermometer-pg-irt1602-1s,"Rs. 1,499.75","Rs. 5,999.00",75% OFF,True
Sahyog Wellness Fingertip Advanced OLED Type Pulse Oximeter,Mfr: Sahyog Wellness,https://www.netmeds.com/images/product-v1/150x150/906675/sahyog_wellness_fingertip_advanced_oled_type_pulse_oximeter_0_1.jpg,https://www.netmeds.com/non-prescriptions/sahyog-wellness-fingertip-advanced-oled-type-pulse-oximeter-1s,Rs. 986.10,"Rs. 2,595.00",62% OFF,True
Onetouch Select Test Strip 50's,Mfr: Lifescan Scotland Ltd,https://www.netmeds.com/images/product-v1/150x150/383204/onetouch_select_test_strip_50_s_0.jpg,https://www.netmeds.com/non-prescriptions/onetouch-select-test-strip-50-s,"Rs. 1,007.60","Rs. 1,145.00",12% OFF,True
Accu-Chek Instant S Blood Glucose Monitor with Free 10 Test Strips,Mfr: Roche Diabetes Care Gmbh,https://www.netmeds.com/images/product-v1/150x150/812638/accu_chek_instant_s_blood_glucose_monitor_with_free_10_test_strips_0_4.jpg,https://www.netmeds.com/non-prescriptions/accu-chek-instant-s-blood-glucose-monitor-1-s,Rs. 824.25,"Rs. 1,099.00",25% OFF,True
Zebronics Fingertip Pulse Oximeter (ZEB-FPO500),Mfr: Zebronics India Private Limited,https://www.netmeds.com/images/product-v1/150x150/915643/zebronics_fingertip_pulse_oximeter_zeb_fpo500_0_0.jpg,https://www.netmeds.com/non-prescriptions/zebronics-fingertip-pulse-oximeter-zeb-fpo500-1s,"Rs. 2,474.45","Rs. 4,499.00",45% OFF,True
Onetouch Select Plus Simple Monitor,Mfr: Lifescan Scotland Ltd,https://www.netmeds.com/images/product-v1/150x150/854053/onetouch_select_plus_simple_monitor_0.jpg,https://www.netmeds.com/non-prescriptions/onetouch-select-plus-simple-monitor-1-s,Rs. 959.10,"Rs. 1,390.00",31% OFF,True
Onetouch Select Test Strip 10's,Mfr: Lifescan Scotland Ltd,https://www.netmeds.com/images/product-v1/150x150/382699/onetouch_select_test_strip_10_s_0.jpg,https://www.netmeds.com/non-prescriptions/onetouch-select-test-strip-10-s,Rs. 327.85,Rs. 395.00,17% OFF,True
Onetouch Select Test Strip 25's,Mfr: Lifescan Scotland Ltd,https://www.netmeds.com/images/product-v1/150x150/382870/onetouch_select_test_strip_25_s_0.jpg,https://www.netmeds.com/non-prescriptions/onetouch-select-test-strip-25-s,Rs. 572.00,Rs. 650.00,12% OFF,True
Accu-Chek Aviva Blood Glucose Test Strip 50's,Mfr: Roche Diabetes Care Gmbh,https://www.netmeds.com/images/product-v1/150x150/409980/accu_chek_aviva_blood_glucose_test_strip_50s_0_2.jpg,https://www.netmeds.com/non-prescriptions/accu-chek-aviva-blood-glucose-test-strip-50-s,"Rs. 1,091.09","Rs. 1,199.00",9% OFF,True
3M Opticlude Orthoptic Eye Patches (1539) 20's,Mfr: 3M India Ltd,https://www.netmeds.com/images/product-v1/150x150/804474/3m_opticlude_orthoptic_eye_patches_1539_20s_0_1.jpg,https://www.netmeds.com/non-prescriptions/3m-opticlude-orthoptic-eye-patches-1539-20-s,Rs. 351.00,Rs. 540.00,35% OFF,True
